Unnamed: 0,created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,impression_count,id,author_id,conversation_id,in_reply_to_user_id,geo,sentiment,umap_transformer_x,umap_transformer_y,sentiment_recoded
0,2023-04-05T10:13:13.000Z,ahbap,"Sahada Ahbaplarımızla depolarımızda, https://t.co/siK7FdHKua üzerinden bize ulaşan ailelerin taleplerini hızlıca hazırlayarak ulaştırmaya devam ediyoruz.💚
#ahbapiyilikgetirir https://t.co/At0pp8KIg9",tr,248,95,3672,5,193213,1643557393475813377,824906834725085184,1643557393475813377,,None,0.9572761350685688,10.33189,5.3600235,5
1,2023-04-01T16:52:28.000Z,ahbap,"Afet bölgelerindeki ihtiyaçları sürekli olarak depolarımızda güncelliyor ve Ahbaplarımızla bölgelere dağıtıyoruz.  Bölge halkının yanında olup Ahbaplık etmeye devam ediyoruz. 💚

#ahbapiyilikgetirir https://t.co/v48Am0aAbE",tr,536,140,7284,15,1859656,1642208320004956161,824906834725085184,1642208320004956161,,None,0.9731691872936846,10.414165,5.52912,5
2,2023-03-31T18:32:06.000Z,ahbap,"Hatay'da oluşturduğumuz konteyner çalışma alanlarımız, öğrencilerin sınav hazırlığı için son sürat hizmet vermeye devam ediyor. Sınava girecek olan tüm öğrencilere zihin açıklığı diliyoruz. 💚

#Ahbapiyilikgetirir
#Hatay https://t.co/TcicjtcI1A",tr,598,81,8820,30,2213870,1641871004925321230,824906834725085184,1641871004925321230,,None,0.9598627672280065,10.238915,5.1775093,5
3,2023-03-28T10:39:28.000Z,ahbap,Ahbap koordinasyonuyla Hatay'daki çadır kente gelen Eskişehir Profesyonel Kuaförler Derneği afet bölgesindeki vatandaşlara hizmet verdiler. Bölgelerin her türlü ihtiyacı için çalışmaya devam ediyoruz. 💚 https://t.co/Xs0JSP4zTw,tr,523,129,8731,21,1733842,1640664896600678400,824906834725085184,1640664896600678400,,None,0.957473186002156,10.165595,5.425988,5
4,2023-03-24T18:01:29.000Z,ahbap,"Afetin yaşandığı ilk günden beri 10 ilde binden fazla Ahbap gönüllüsü ile bölge halkının ihtiyaçlarını karşılamak için tüm gücümüzle çalışıyoruz. 
#ahbapiyilikgetirir https://t.co/qfP3g2MyA9",tr,533,120,6342,41,3310916,1639326585386827787,824906834725085184,1639326585386827787,,None,0.58289042544419,10.151037,5.5716248,3
5,2023-03-24T17:56:56.000Z,ahbap,"Kamuoyuna Duyuru

Ahbap Derneği tarafından yapılan harcamaların TÜRMOB Şubat Ayı Denetim Raporu’nu bağlantı üzerinden inceleyebilirsiniz. 
https://t.co/L35v6Ojqip https://t.co/tkSNmPwL2O",tr,117,49,1151,9,214603,1639325440383778816,824906834725085184,1639325440383778816,,None,0.6946969576723572,9.809656,4.0044246,3
6,2023-03-22T14:39:33.000Z,ahbap,"Bize ulaşan ve teyit ettiğimiz ailelere depomuzdaki ürünleri özenle hazırlayarak hızla ulaştırmaya devam ediyoruz. 💚

#malatya #ahbapiyilikgetirir https://t.co/Rm9wtmD7EF",tr,467,101,6849,19,1669799,1638550988134006791,824906834725085184,1638550988134006791,,None,0.972952719100488,10.376534,5.290095,5
7,2023-03-21T18:13:50.000Z,ahbap,"RT @haluklevent: Bir önceki twite benzer sorular gelmiş.
Durumu açıklayayım.
Günde ancak 70 konteyner yerleştirebiliyoruz bölgelere.
Aşağıd…",tr,2111,0,0,0,0,1638242527332515840,824906834725085184,1638242527332515840,,None,0.4593471329499585,9.535981,3.8277721,2
8,2023-03-18T17:01:05.000Z,ahbap,Sevginin ve gerçeğin peşindeyiz. 💚 https://t.co/I6mTtSYftP,tr,541,104,10981,34,2167056,1637137057993695234,824906834725085184,1637137057993695234,,None,0.9975105306975072,13.77787,6.559685,5
9,2023-03-18T11:42:09.000Z,ahbap,18 Mart Çanakkale Zaferi’nin 108. yıl dönümünde Gazi Mustafa Kemal Atatürk ve silah arkadaşlarını saygıyla ve minnetle anıyoruz. #18MartÇanakkaleZaferi https://t.co/VcFaasylNN,tr,245,16,3528,3,156772,1637056793758056448,824906834725085184,1637056793758056448,,None,0.8097802799278618,12.494542,8.865713,4
